Major,Job Title,Salary,Number of Employee,% growth
Doctor of Philosophy in Clinical Translational Science,,129100,63500,0.05
Foundations for Biomedical Science PhDs Serving Indigenous Cultures,,91410,19800,0.05
Major in Medicine,,206500,433700,0.085
Major in Emergency Medical Services,,81880,262100,0.085
Doctor of Philosophy in Immunobiology,,206500,433700,0.085
Doctor of Philosophy in Molecular Medicine,,206500,433700,0.085
Microbiology and Immunity,,75650,21700,0.05
Doctor of Philosophy in Medical Pharmacology,,128090,314300,0
Master of Science in Medical Pharmacology,,128090,314300,0
Major in Physiology,,206500,433700,0.085
Major in Physiology and Medical Sciences,,206500,433700,0.085
Major in Pharmacy,,128090,314300,0
Doctor of Philosophy in Pharmaceutical Sciences,,128090,314300,0
Master of Science in Pharmaceutical Sciences,,128090,314300,0
Doctor of Philosophy in Pharmacology and Toxicology,,128090,314300,0
Major in Pharmaceutical Sciences,,128090,314300,0
Doctor of Philosophy in Biostatistics,,91160,44400,0.11
Doctor of Philosophy in Environmental Health Sciences,,71360,85000,0.085
Doctor of Philosophy in Epidemiology,,70990,7600,0.05
Clinical and Translational Research,,129100,63500,0.05
Health Administration,,129100,63500,0.05
Master of Science in Biostatistics,,91160,44400,0.11
Master of Science in Environmental Health Sciences,,71360,85000,0.085
Master of Science in Epidemiology,,70990,7600,0.05
Doctor of Philosophy in Astronomy and Astrophysics,,114590,2400,0.05
Master of Science in Astronomy and Astrophysics,,114590,2400,0.05
Major in Astronomy,,114590,2400,0.05
Doctor of Philosophy in Chemistry,,77630,87700,0.05
Master of Arts in Chemistry,,77630,87700,0.05
Master of Science in Chemistry,,77630,87700,0.05
Major in Chemistry,,77630,87700,0.05
Doctor of Philosophy in Biochemistry,,94490,30400,0.05
Master of Science in Biochemistry,,94490,30400,0.05
Major in Biochemistry,,94490,30400,0.05
Dendrochronology,,71360,85000,0.085
Egyptian Archaeology,,63670,6500,0.085
Science Communication,,72850,55700,0.085
Doctor of Philosophy in Ecology and Evolutionary Biology,,79580,118400,0.05
Master of Science in Ecology and Evolutionary Biology,,79580,118400,0.05
Major in Biology,,79580,118400,0.05
Major in Ecology and Evolutionary Biology,,79580,118400,0.05
Doctor of Philosophy in Geosciences,,92040,31000,0.05
Master of Science in Geosciences,,92040,31000,0.05
Professional Science Masters in Economic Geology,,92040,31000,0.05
Major in Geosciences,,92040,31000,0.05
Doctor of Philosophy in Atmospheric Sciences,,95380,10000,0.085
Doctor of Philosophy in Hydrology,,81270,6700,0.085
Doctor of Philosophy in Hydrometeorology,,81270,6700,0.085
Master of Science in Atmospheric Sciences,,95380,10000,0.085
Master of Science in Hydrology,,81270,6700,0.085
Master of Science in Hydrometeorology,,81270,6700,0.085
Major in Environmental Hydrology and Water Resources,,81270,6700,0.085
Major in Hydrology and Atmospheric Sciences,,81270,6700,0.085
Groundwater,,129100,63500,0.05
Hydrology and Water Resources,,81270,6700,0.085
Doctor of Philosophy in Mathematics,,105030,2900,0.11
Master of Science in Mathematics,,105030,2900,0.11
Major in Mathematics,,105030,2900,0.11
Doctor of Philosophy in Physics,,122850,19200,0.085
Master of Science in Physics,,122850,19200,0.085
Professional Science Masters in Medical Physics,,206500,433700,0.085
Major in Applied Physics,,122850,19200,0.085
Major in Physics,,122850,19200,0.085
Doctor of Philosophy in Planetary Sciences,,122850,19200,0.085
Master of Science in Planetary Sciences,,122850,19200,0.085
Major in Neuroscience and Cognitive Science,,206500,433700,0.085
Doctor of Audiology,,77600,13600,0.11
"Doctor of Philosophy in Speech, Language and Hearing Sciences",,77600,13600,0.11
Bilingual Audiology,,77600,13600,0.11
Bilingual Speech-Language Pathology,,77600,13600,0.11
"Master of Science in Speech, Language and Hearing Sciences",,77600,13600,0.11
"Major in Speech, Language and Hearing Sciences",,77600,13600,0.11
Major in Judaic Studies,,69990,31900,0.085
Major in American Indian Studies,,69990,31900,0.085
Major in Global Studies,,0,0,0
Doctor of Philosophy in Communication,,72850,55700,0.085
Master of Arts in Communication,,72850,55700,0.085
Doctor of Philosophy in English,,68490,83000,0.05
"Doctor of Philosophy in Rhetoric, Composition and Teaching of English",,68490,83000,0.05
Master of Arts in English,,68490,83000,0.05
"Master of Arts in Rhetoric, Composition and Teaching of English",,68490,83000,0.05
Master of Arts in Teaching English as a Second Language,,68490,83000,0.05
Master of Fine Arts in Creative Writing,,63200,123200,0
Major in Creative Writing,,63200,123200,0
Major in English,,68490,83000,0.05
Doctor of Philosophy in History,,63680,3300,0.05
Master of Arts in History,,63680,3300,0.05
Major in History,,63680,3300,0.05
Master of Arts in Journalism,,61370,118300,0
Major in Journalism,,61370,118300,0
Master of Arts in Latin American Studies,,69990,31900,0.085
Major in Latin American Studies,,69990,31900,0.085
Doctor of Philosophy in Anthropology and Linguistics,,63670,6500,0.085
Doctor of Philosophy in Linguistics,,63670,6500,0.085
Master of Arts in Linguistics,,63670,6500,0.085
Master of Science in Human Language Technology,,63670,6500,0.085
Major in Linguistics,,63670,6500,0.085
Doctor of Philosophy in Mexican American Studies,,69990,31900,0.085
Master of Science in Mexican American Studies,,69990,31900,0.085
Major in Mexican American Studies,,69990,31900,0.085
Doctor of Philosophy in Philosophy,,75240,31700,0.085
Master of Arts in Philosophy,,75240,31700,0.085
"Major in Philosophy, Politics, Economics and Law",,75240,31700,0.085
Doctor of Philosophy in Geography,,81540,1500,0.025
Geographic Information Science,,88550,35700,0.085
Water Policy,,129100,63500,0.05
Master of Arts in Geography,,81540,1500,0.025
Major in Environmental Studies,,69990,31900,0.085
Major in Geography,,81540,1500,0.025
Major in Urban and Regional Development,,74350,39100,0.11
Doctor of Philosophy in Middle Eastern and North African Studies,,69990,31900,0.085
Doctor of Philosophy in Near Eastern Studies,,69990,31900,0.085
Middle Eastern Culture and Pedagogy,,69990,31900,0.085
Master of Arts in Middle Eastern and North African Studies,,69990,31900,0.085
Major in Arabic,,69990,31900,0.085
Major in Middle Eastern and North African Studies,,69990,31900,0.085
Master of Arts in Anthropology,,63670,6500,0.085
Masters in Development Practice,,63670,6500,0.085
Major in Anthropology,,63670,6500,0.085
Major in Political Science,,122220,6200,0.05
Archival Studies,,88550,412800,0.05
Law Librarianship,,122960,823900,0.05
Master of Science in Information,,88550,412800,0.05
Major in Information Science & eSociety,,88550,412800,0.05
Major in Information Science and Arts,,88550,412800,0.05
Major in Information Science and Technology,,88550,412800,0.05
Doctor of Philosophy in Sociology,,83420,3000,0.085
Master of Arts in Sociology,,83420,3000,0.085
Major in Sociology,,83420,3000,0.085
Doctor of Philosophy in Economics,,105020,21000,0.085
Master of Arts in Economics,,105020,21000,0.085
Master of Science in Econometrics and Quantitative Economics,,105020,21000,0.085
Major in Business Economics,,105020,21000,0.085
Major in Entrepreneurship,,0,0,0
Business Intelligence and Analytics,,88550,412800,0.085
Enterprise Information Security,,99730,112300,0.11
Major in Business Management,,85260,876300,0.11
Doctor of Philosophy in Applied Intercultural Arts Research,,47510,39600,0.085
Doctor of Philosophy in Applied Mathematics,,105030,2900,0.11
Doctor of Philosophy in Arid Lands Resource Sciences,,62660,23800,0.05
Doctor of Philosophy in Genetics,,82220,47100,0.05
Doctor of Philosophy in Neuroscience,,206500,433700,0.085
Doctor of Philosophy in Persian and Iranian Studies,,69990,31900,0.085
Doctor of Philosophy in Physiological Sciences,,15800,49170,0.085
Master of Arts in Applied Intercultural Arts Research,,47510,39600,0.085
Master of Arts in Persian and Iranian Studies,,69990,31900,0.085
Master of Science in Applied Mathematics,,105030,2900,0.11
Master of Science in Entomology & Insect Science,,63270,19300,0.05
Master of Science in Neuroscience,,206500,433700,0.085
Master of Science in Physiological Sciences,,15800,49170,0.085
Doctor of Philosophy in Optical Sciences,,99040,157800,0.05
Optical Sciences,,99040,157800,0.05
Master of Science in Optical Sciences,,99040,157800,0.05
Master of Science in Photonic Communications Engineering,,99040,157800,0.05
Major in Optical Sciences & Engineering,,99040,157800,0.05
Major in Environmental Science,,69990,31900,0.085
Applied Nutrition,,70900,61270,0.11
Professional Science Masters in Applied Nutrition,,70900,61270,0.11
Instructional Design and Technology,,66290,181600,0.05
Master of Science in Educational Technology,,66290,181600,0.05
Major in Applied Science,,0,0,0
"Major in Literacy, Learning and Leadership",,87004.28822,171050,0.085
Advanced Transportation Engineering,,87060,326800,0.05
Master of Engineering,,0,0,0
Master of Science in Electrical and Computer Engineering,,98530,191900,0.05
Major in Electrical and Computer Engineering,,98530,191900,0.05
Mine Production and Information Technology,,91160,5900,0.025
Mineral Processing and Extractive Metallurgy,,91160,5900,0.025
Rock Mechanics,,91160,5900,0.025
Systems Engineering,,98530,191900,0.05
Master of Arts in Second Language Learning and Educational Technology,,70071.41001,87233.33333,0.05
Master of Arts in Human Rights Practice,,69050,319900,0.05
Major in Communication,,72850,55700,0.085
Teaching English as a Second or Foreign Language,,70071.41001,87233.33333,0.05
Major in Philosophy,,75240,31700,0.085
Professional Geographic Information Systems Technology,,88550,412800,0.085
Master of Science in Geographic Information Systems Technology,,88550,412800,0.085
Geographic Information Systems Technology,,88550,412800,0.085
International Security Studies,,99730,112300,0.05
Master of Arts in International Security,,99730,112300,0.05
Digital Information Management,,59500,134800,0.05
Instruction and Teaching for Librarians and Information Professionals,,59500,134800,0.05
Medical and Community Health Information,,77103.6953,227766.6667,0.11
"Major in Care, Health and Society",,74100,98000,0.05
Master of Science in Entrepreneurship,,0,0,0
Enterprise Information Security,,99730,112300,0.11
Master of Science in Management Information Systems,,85260,876300,0.11
Masters in Healthcare Management,,100980,406100,0.11
Sports Management,,85260,876300,0.11
Accounting,,71741.72868,740450,0.05
Master of Science in Optical Sciences,,99040,157800,0.05
Master of Legal Studies,,122960,823900,0.05
Master of Medical Studies,,0,0,0
Major in Medicine,,206500,433700,0.085
Master of Science in Clinical Translational Science,,129100,63500,0.05
Master of Education in Secondary Education,,0,0,0
